frame,tempo,angulo,velocidade,ombro_y,cotovelo_y,punho_y
47,1.5666666666666667,130.0100449354154,122.14172258812681,479,700,752
48,1.6,128.42194193245163,-47.64309008891331,477,695,752
49,1.6333333333333333,135.77569399860045,220.61256198446443,479,699,779
50,1.6666666666666667,138.63391089836492,85.74650699293414,480,700,783
51,1.7,143.88181146832426,157.43701709878025,483,700,799
52,1.7333333333333334,148.04008902496784,124.74832669930748,483,700,814
53,1.7666666666666666,148.45757100585072,12.524459426486487,484,700,812
54,1.8,152.24888540993572,113.73943212255,482,691,819
55,1.8333333333333333,130.54732316091838,-651.0468674705203,480,694,736
56,1.8666666666666667,122.8682865837047,-230.37109731641038,479,698,706
57,1.9,113.844338361678,-270.71844666080113,472,699,671
58,1.9333333333333333,111.97991623645152,-55.93266375679448,469,699,665
59,1.9666666666666666,108.40224944906173,-107.33000362169363,468,700,654
60,2.0,103.11567309628997,-158.5972905831528,465,698,615
61,2.033333333333333,104.26104487936111,34.361153492134235,465,688,605
62,2.066666666666667,101.6138875792679,-79.41471900279637,465,686,591
63,2.1,100.63658117646835,-29.319192083986252,465,684,594
64,2.1333333333333333,96.47189407160717,-124.94061314583561,465,685,574
65,2.1666666666666665,92.84102230173465,-108.9261530961754,465,682,566
66,2.2,86.63449942253766,-186.19568637590987,465,683,546
67,2.2333333333333334,84.317028492726,-69.52412789434987,465,683,547
68,2.2666666666666666,84.67999481838352,10.888989769725725,465,683,550
69,2.3,85.79047015491722,33.314260096010884,464,681,559
70,2.3333333333333335,87.24724284201334,43.703180612883585,465,681,565
71,2.3666666666666667,89.70315230791907,73.67728397717201,466,681,560
72,2.4,97.08932030695857,221.585039971185,467,681,562
73,2.433333333333333,99.74237490452667,79.59163792704302,467,681,563
74,2.466666666666667,102.44817324531702,81.17395022371056,467,682,576
75,2.5,107.8480935617541,161.99760949311226,467,686,612
76,2.533333333333333,107.78564892522425,-1.8733390958954033,467,693,627
77,2.566666666666667,112.8575611050695,152.15736539535726,467,701,666
78,2.6,113.08641491475726,6.865614290632891,466,702,670
79,2.6333333333333333,114.88553627402906,53.97364077815425,465,702,684
80,2.6666666666666665,117.19267383576648,69.2141268521226,465,701,698
81,2.7,117.60584734684188,12.39520533226198,464,697,717
82,2.7333333333333334,118.33859847928733,21.982533973363303,463,697,719
83,2.7666666666666666,123.7944915244555,163.67679135504503,463,699,742
84,2.8,128.21764050586572,132.69446944230666,467,702,763
85,2.8333333333333335,132.78781046838654,137.10509887562466,469,703,786
86,2.8666666666666667,137.66455378025125,146.30229935594144,471,704,806
87,2.9,138.69610717916464,30.946601967401648,471,703,808
88,2.933333333333333,142.6670011190888,119.12681819772502,471,702,823
89,2.966666666666667,150.15281973782453,224.57455856207162,472,705,853
90,3.0,153.74393073860546,107.73333002342781,474,705,859
91,3.033333333333333,158.5832126476931,145.17845727262937,476,707,876
92,3.066666666666667,159.40235454040194,24.574256781265262,476,706,877
93,3.1,161.39028162957734,59.63781267526201,477,709,889
94,3.1333333333333333,162.10552068603982,21.457171693874386,477,709,891
95,3.1666666666666665,163.9560101061407,55.51468260302613,476,704,878
96,3.2,164.543808740793,17.63395903956905,475,702,877
97,3.2333333333333334,164.0938618669433,-13.49840621549049,475,701,874
98,3.2666666666666666,163.68990784430693,-12.11862067909152,475,702,876
99,3.3,163.05853024911136,-18.9413278558672,475,701,873
